"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52696  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0"
"2","0.334557","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","[TCP Retransmission] 52696  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0"
"3","0.445810","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","74","5228  >  52696 [RST] Seq=1 Win=0 Len=0"
"4","0.472493","192.168.225.179","192.168.225.127","DNS","76","Standard query 0xf808 AAAA mtalk.google.com"
"5","0.473216","192.168.225.179","192.168.225.127","DNS","76","Standard query 0x9225 A mtalk.google.com"
"6","0.482406","192.168.225.127","192.168.225.179","DNS","143","Standard query response 0xf808 AAAA mtalk.google.com CNAME mobile-gtalk.l.google.com AAAA 2404:6800:4003:c11::bc"
"7","0.482406","192.168.225.127","192.168.225.179","DNS","131","Standard query response 0x9225 A mtalk.google.com CNAME mobile-gtalk.l.google.com A 74.125.130.188"
"8","0.483599","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","86","52705  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1340 WS=256 SACK_PERM"
"9","0.612194","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","86","5228  >  52705 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM WS=256"
"10","0.612456","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"11","0.613286","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","1374","52705  >  5228 [ACK] Seq=1 Ack=1 Win=65280 Len=1300 [TCP PDU reassembled in 12]"
"12","0.613286","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TLSv1.3","473","Client Hello (SNI=mtalk.google.com)"
"13","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","1294","Server Hello"
"14","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","86","5228  >  52705 [ACK] Seq=1 Ack=1 Win=269312 Len=0 SLE=1301 SRE=1700"
"15","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","1294","Change Cipher Spec"
"16","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","74","5228  >  52705 [ACK] Seq=1 Ack=1700 Win=267776 Len=0"
"17","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1294","5228  >  52705 [ACK] Seq=2441 Ack=1700 Win=267776 Len=1220 [TCP PDU reassembled in 21]"
"18","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1294","5228  >  52705 [PSH, ACK] Seq=3661 Ack=1700 Win=267776 Len=1220 [TCP PDU reassembled in 21]"
"19","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1294","5228  >  52705 [ACK] Seq=4881 Ack=1700 Win=267776 Len=1220 [TCP PDU reassembled in 21]"
"20","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1294","5228  >  52705 [PSH, ACK] Seq=6101 Ack=1700 Win=267776 Len=1220 [TCP PDU reassembled in 21]"
"21","0.728533","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","450","Application Data"
"22","0.729129","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1700 Ack=1221 Win=64256 Len=0"
"23","0.729331","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1700 Ack=2441 Win=65280 Len=0"
"24","0.729452","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1700 Ack=7697 Win=65280 Len=0"
"25","0.731010","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TLSv1.3","138","Change Cipher Spec, Application Data"
"26","0.732283","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TLSv1.3","284","Application Data"
"27","0.916515","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","611","Application Data, Application Data"
"28","0.916515","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","74","5228  >  52705 [ACK] Seq=7697 Ack=1974 Win=267520 Len=0"
"29","0.916654","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1974 Ack=8234 Win=64768 Len=0"
"30","0.918490","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","163","Application Data"
"31","0.918490","2404:6800:4003:c11::bc","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","108","Application Data"
"32","0.918575","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2404:6800:4003:c11::bc","TCP","74","52705  >  5228 [ACK] Seq=1974 Ack=8357 Win=64768 Len=0"
"33","3.083911","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"34","3.084385","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"35","3.086000","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"36","3.086266","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"37","4.096628","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"38","4.097221","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"39","4.100281","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"40","4.100589","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"41","6.109611","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"42","6.110059","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"43","6.111179","192.168.225.179","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"44","6.111412","fe80::ac6d:cd05:925a:c2fa","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"45","7.873276","192.168.225.179","148.113.8.203","TCP","55","52452  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"46","7.913024","148.113.8.203","192.168.225.179","TCP","54","443  >  52452 [ACK] Seq=0 Ack=2 Win=501 Len=0"
"47","7.913065","192.168.225.179","148.113.8.203","TCP","54","[TCP Dup ACK 45#1] [TCP ACKed unseen segment] 52452  >  443 [ACK] Seq=2 Ack=1 Win=254 Len=0"
"48","7.941401","148.113.8.203","192.168.225.179","TCP","66","[TCP Previous segment not captured] 443  >  52452 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"49","12.972169","be:32:42:4d:0b:f0","Intel_24:58:97","ARP","42","Who has 192.168.225.179? Tell 192.168.225.127"
"50","12.972210","Intel_24:58:97","be:32:42:4d:0b:f0","ARP","42","192.168.225.179 is at f4:6d:3f:24:58:97"
"51","17.952077","192.168.225.179","148.113.8.203","TCP","55","[TCP Keep-Alive] 52452  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"52","18.013884","148.113.8.203","192.168.225.179","TCP","66","[TCP Keep-Alive ACK] 443  >  52452 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"53","18.403788","192.168.225.179","192.168.225.127","DNS","79","Standard query 0xf5af AAAA main.vscode-cdn.net"
"54","18.403968","192.168.225.179","192.168.225.127","DNS","79","Standard query 0x671c A main.vscode-cdn.net"
"55","18.404070","192.168.225.179","192.168.225.127","DNS","79","Standard query 0x712d HTTPS main.vscode-cdn.net"
"56","18.484498","192.168.225.127","192.168.225.179","DNS","249","Standard query response 0x671c A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME shed.dual-low.s-part-0030.t-0009.t-msedge.net CNAME s-part-0030.t-0009.t-msedge.net A 13.107.246.58"
"57","18.501414","192.168.225.127","192.168.225.179","DNS","279","Standard query response 0x712d HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME shed.dual-low.s-part-0030.t-0009.t-msedge.net SOA ns1.t-msedge.net"
"58","18.540906","192.168.225.127","192.168.225.179","DNS","261","Standard query response 0xf5af AAAA main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME shed.dual-low.s-part-0030.t-0009.t-msedge.net CNAME s-part-0030.t-0009.t-msedge.net AAAA 2620:1ec:bdf::58"
"59","18.542938","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","86","52706  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1340 WS=256 SACK_PERM"
"60","18.591606","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","86","443  >  52706 [SYN, ACK] Seq=0 Ack=1 Win=43090 Len=0 MSS=1300 SACK_PERM WS=512"
"61","18.591783","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"62","18.593674","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","1374","52706  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1300 [TCP PDU reassembled in 63]"
"63","18.593674","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","567","Client Hello (SNI=main.vscode-cdn.net)"
"64","18.658016","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","74","443  >  52706 [ACK] Seq=1 Ack=1301 Win=42496 Len=0"
"65","18.658016","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","74","443  >  52706 [ACK] Seq=1 Ack=1794 Win=42496 Len=0"
"66","18.661936","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","173","Hello Retry Request, Change Cipher Spec"
"67","18.662857","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","681","Change Cipher Spec, Client Hello (SNI=main.vscode-cdn.net)"
"68","18.717704","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","1374","Server Hello, Application Data"
"69","18.717704","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=1400 Ack=2401 Win=42496 Len=1300 [TCP PDU reassembled in 74]"
"70","18.717872","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2401 Ack=2700 Win=65280 Len=0"
"71","18.718027","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=2700 Ack=2401 Win=42496 Len=1300 [TCP PDU reassembled in 74]"
"72","18.720643","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","270","443  >  52706 [PSH, ACK] Seq=4000 Ack=2401 Win=42496 Len=196 [TCP PDU reassembled in 74]"
"73","18.720643","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=4196 Ack=2401 Win=42496 Len=1300 [TCP PDU reassembled in 74]"
"74","18.720643","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","1374","Application Data"
"75","18.720690","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2401 Ack=6796 Win=65280 Len=0"
"76","18.720843","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","372","Application Data, Application Data"
"77","18.721094","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","148","Application Data"
"78","18.721254","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","166","Application Data"
"79","18.721465","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","346","Application Data"
"80","18.773062","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","361","Application Data"
"81","18.773062","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","361","Application Data"
"82","18.773228","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2839 Ack=7668 Win=64512 Len=0"
"83","18.775104","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","136","Application Data"
"84","18.775104","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","105","Application Data"
"85","18.775203","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2839 Ack=7761 Win=64512 Len=0"
"86","18.775582","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TLSv1.3","105","Application Data"
"87","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=7761 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"88","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=9061 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"89","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=10361 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"90","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=11661 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"91","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=12961 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"92","18.779173","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=14261 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"93","18.779334","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=15561 Win=65280 Len=0"
"94","18.782318","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=15561 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"95","18.782318","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=16861 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"96","18.782404","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=18161 Win=65280 Len=0"
"97","18.784852","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=18161 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"98","18.784852","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=19461 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"99","18.784943","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=20761 Win=65280 Len=0"
"100","18.789832","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=20761 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"101","18.789832","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=22061 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 103]"
"102","18.789906","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=23361 Win=65280 Len=0"
"103","18.816220","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TLSv1.3","1374","Application Data"
"104","18.816220","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=24661 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"105","18.816220","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=25961 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"106","18.816345","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=27261 Win=65280 Len=0"
"107","18.819208","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=27261 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"108","18.819352","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=28561 Win=65280 Len=0"
"109","18.824726","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=28561 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"110","18.824726","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=29861 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"111","18.824726","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=31161 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"112","18.825199","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=32461 Win=65280 Len=0"
"113","18.827145","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=32461 Ack=2839 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"114","18.827220","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","2620:1ec:bdf::58","TCP","74","52706  >  443 [ACK] Seq=2870 Ack=33761 Win=65280 Len=0"
"115","18.831502","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [ACK] Seq=33761 Ack=2870 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
"116","18.831502","2620:1ec:bdf::58","2409:40e2:1009:5e4b:fd86:ae24:f159:5f5e","TCP","1374","443  >  52706 [PSH, ACK] Seq=35061 Ack=2870 Win=42496 Len=1300 [TCP PDU reassembled in 121]"
